T,N,bin_i,bin_j,bin_i_idx,bin_j_idx,c2_mean,c2_std,c2_exact,mean_p1,mean_p1_sq,mean_p1_cu,mean_p1_qu,mean_n1,mean_p2,mean_p2_sq,mean_p2_cu,mean_p2_qu,mean_n2,mean_p1_p2,p1_sq_p2_sq,mean_p2_F,inv_N,mean_n_accepted,n_valid_events
0.15,3,low,low,0,0,0.6283171701190001,0.006769286823103848,0.362857695752854,0.3710416681307039,0.1405006715071566,0.05432557205777459,0.021449839851296552,0.4875,0.3710416681307039,0.1405006715071566,0.05432557205777459,0.021449839851296552,0.4875,0.1376719194892154,0.01974043869396192,0.135,0.3333333333333333,0.5820833333333333,5285
0.15,3,low,mid,0,1,0.6603984699020166,0.010675873562813978,0.5572275673361975,0.3710416681307039,0.1405006715071566,0.05432557205777459,0.021449839851296552,0.4875,0.5813764338063334,0.34277790871603003,0.20518675700561692,0.12481981320842062,0.09044270833333333,0.2157148818113817,0.048160526352421046,0.135,0.3333333333333333,0.5820833333333333,1901
0.15,3,low,high,0,2,0.46608458974144673,0.06995237960895613,0.8418081415603669,0.3710416681307039,0.1405006715071566,0.05432557205777459,0.021449839851296552,0.4875,0.8823109391857596,0.7847344664966359,0.7041784034055822,0.6381114679662621,0.004140625,0.3273741226854523,0.11025571949758763,0.135,0.3333333333333333,0.5820833333333333,55
0.15,3,mid,low,1,0,0.6603984699020166,0.010675873562813978,0.5572275673361973,0.5813764338063334,0.34277790871603003,0.20518675700561692,0.12481981320842062,0.09044270833333333,0.3710416681307039,0.1405006715071566,0.05432557205777459,0.021449839851296552,0.4875,0.2157148818113817,0.048160526352421046,0.135,0.3333333333333333,0.5820833333333333,1901
0.15,3,mid,mid,1,1,0.7885936873746386,0.011797672970319167,0.7228311149906897,0.5813764338063334,0.34277790871603003,0.20518675700561692,0.12481981320842062,0.09044270833333333,0.5813764338063334,0.34277790871603003,0.20518675700561692,0.12481981320842062,0.09044270833333333,0.33799855778536997,0.11749669470373501,0.135,0.3333333333333333,0.5820833333333333,757
0.15,3,mid,high,1,2,0.8611886707298896,0.01695152543076094,0.9379107942834166,0.5813764338063334,0.34277790871603003,0.20518675700561692,0.12481981320842062,0.09044270833333333,0.8823109391857596,0.7847344664966359,0.7041784034055822,0.6381114679662621,0.004140625,0.5129547873321336,0.2689896393231064,0.135,0.3333333333333333,0.5820833333333333,102
0.15,3,high,low,2,0,0.46608458974144673,0.06995237960895613,0.8418081415603668,0.8823109391857596,0.7847344664966359,0.7041784034055822,0.6381114679662621,0.004140625,0.3710416681307039,0.1405006715071566,0.05432557205777459,0.021449839851296552,0.4875,0.3273741226854523,0.11025571949758763,0.135,0.3333333333333333,0.5820833333333333,55
0.15,3,high,mid,2,1,0.8611886707298896,0.01695152543076094,0.9379107942834166,0.8823109391857596,0.7847344664966359,0.7041784034055822,0.6381114679662621,0.004140625,0.5813764338063334,0.34277790871603003,0.20518675700561692,0.12481981320842062,0.09044270833333333,0.5129547873321336,0.2689896393231064,0.135,0.3333333333333333,0.5820833333333333,102
0.15,3,high,high,2,2,0.9254539323889691,0.021407882584213597,0.9847860117489508,0.8823109391857596,0.7847344664966359,0.7041784034055822,0.6381114679662621,0.004140625,0.8823109391857596,0.7847344664966359,0.7041784034055822,0.6381114679662621,0.004140625,0.7784725934068573,0.6158081829077598,0.135,0.3333333333333333,0.5820833333333333,23
0.15,4,low,low,0,0,0.3571967767407009,0.0065186040175123925,0.133852203569992,0.3764181862298055,0.1446713412545919,0.056780965073451324,0.022749856898637302,0.8062239583333334,0.3764181862298055,0.1446713412545919,0.056780965073451324,0.022749856898637302,0.8062239583333334,0.14169065092453653,0.020929796980402586,0.135,0.25,1.0253125,8723
0.15,4,low,mid,0,1,0.47382925772458817,0.00783536547874598,0.27008977211683904,0.3764181862298055,0.1446713412545919,0.056780965073451324,0.022749856898637302,0.8062239583333334,0.5888211468590714,0.35200537064775866,0.2138465334856673,0.13211260413587264,0.205,0.22164298811444558,0.050925089100431004,0.135,0.25,1.0253125,4603
0.15,4,low,high,0,2,0.4926305878887152,0.029224700185643316,0.4822741739196419,0.3764181862298055,0.1446713412545919,0.056780965073451324,0.022749856898637302,0.8062239583333334,0.894713281610017,0.8087662242672926,0.7397333793113569,0.685757254835043,0.014088541666666666,0.33678635065935975,0.11700529442616131,0.135,0.25,1.0253125,306
0.15,4,mid,low,1,0,0.47382925772458817,0.00783536547874598,0.27008977211683904,0.5888211468590714,0.35200537064775866,0.2138465334856673,0.13211260413587264,0.205,0.3764181862298055,0.1446713412545919,0.056780965073451324,0.022749856898637302,0.8062239583333334,0.22164298811444558,0.050925089100431004,0.135,0.25,1.0253125,4603
0.15,4,mid,mid,1,1,0.5957827761179209,0.012403916023071001,0.45702295652829245,0.5888211468590714,0.35200537064775866,0.2138465334856673,0.13211260413587264,0.205,0.5888211468590714,0.35200537064775866,0.2138465334856673,0.13211260413587264,0.205,0.3467103429884321,0.12390778096486596,0.135,0.25,1.0253125,1497
0.15,4,mid,high,1,2,0.6895734288113773,0.022266227012690865,0.7152290583555497,0.5888211468590714,0.35200537064775866,0.2138465334856673,0.13211260413587264,0.205,0.894713281610017,0.8087662242672926,0.7397333793113569,0.685757254835043,0.014088541666666666,0.5268261005876534,0.28469005454059665,0.135,0.25,1.0253125,315
0.15,4,high,low,2,0,0.4926305878887152,0.029224700185643316,0.482274173919642,0.894713281610017,0.8087662242672926,0.7397333793113569,0.685757254835043,0.014088541666666666,0.3764181862298055,0.1446713412545919,0.056780965073451324,0.022749856898637302,0.8062239583333334,0.33678635065935975,0.11700529442616131,0.135,0.25,1.0253125,306
0.15,4,high,mid,2,1,0.6895734288113773,0.022266227012690865,0.71522905835555,0.894713281610017,0.8087662242672926,0.7397333793113569,0.685757254835043,0.014088541666666666,0.5888211468590714,0.35200537064775866,0.2138465334856673,0.13211260413587264,0.205,0.5268261005876534,0.28469005454059665,0.135,0.25,1.0253125,315
0.15,4,high,high,2,2,0.7169047376284232,0.0639047527082299,0.9688560113305276,0.894713281610017,0.8087662242672926,0.7397333793113569,0.685757254835043,0.014088541666666666,0.894713281610017,0.8087662242672926,0.7397333793113569,0.685757254835043,0.014088541666666666,0.8005118562893655,0.6541028055155726,0.135,0.25,1.0253125,52
0.15,5,low,low,0,0,0.1993257335464758,0.005610410463580555,0.06534177357219169,0.3794882823197305,0.1470607923045369,0.058195932660180374,0.02350532215433577,1.0990625,0.3794882823197305,0.1470607923045369,0.058195932660180374,0.02350532215433577,1.0990625,0.14401135641797946,0.021626876633238135,0.135,0.2,1.453828125,12464
