N,bin_i,bin_j,bin_i_idx,bin_j_idx,c2_mean,c2_std,c2_exact,mean_p1,mean_p1_sq,mean_p1_cu,mean_p1_qu,mean_n1,mean_p2,mean_p2_sq,mean_p2_cu,mean_p2_qu,mean_n2,mean_p1_p2,p1_sq_p2_sq,mean_p2_F,inv_N,mean_n_accepted,n_valid_events
20,low,low,0,0,0.001262851494681,0.0010318564010807,0.000278869695766,0.3946791043491873,0.1590497423958825,0.0653823935346692,0.0273817130012086,5.274675,0.3946791043491873,0.1590497423958825,0.0653823935346692,0.0273817130012086,5.274675,0.1557715954098766,0.0252968205561965,0.375,0.05,12.9306625,78569
20,low,mid,0,1,0.0021226577023826,0.0005957180438202,0.0007108313225816,0.3946791043491873,0.1590497423958825,0.0653823935346692,0.0273817130012086,5.274675,0.6306463938213153,0.4049277828947827,0.264628419075974,0.175903827752824,4.6671,0.2489029538744415,0.064403659558351,0.375,0.05,12.9306625,79400
20,low,high,0,2,0.0045490570425855,0.0007993466636278,0.0023038934312133,0.3946791043491873,0.1590497423958825,0.0653823935346692,0.0273817130012086,5.274675,1.0724167475760498,1.2170196608479606,1.4792301586836172,1.94849502430814,2.9888875,0.4232604814223838,0.1935666635485924,0.375,0.05,12.9306625,76101
20,mid,low,1,0,0.0021226577023826,0.0005957180438202,0.0007108313225816,0.6306463938213153,0.4049277828947827,0.264628419075974,0.175903827752824,4.6671,0.3946791043491873,0.1590497423958825,0.0653823935346692,0.0273817130012086,5.274675,0.2489029538744415,0.064403659558351,0.375,0.05,12.9306625,79400
20,mid,mid,1,1,0.0016811472939456,0.0011935040807861,0.001810385364239,0.6306463938213153,0.4049277828947827,0.264628419075974,0.175903827752824,4.6671,0.6306463938213153,0.4049277828947827,0.264628419075974,0.175903827752824,4.6671,0.3977148740398294,0.1639665093600842,0.375,0.05,12.9306625,77283
20,mid,high,1,2,0.0101546463139341,0.000865399553958,0.0058547895677752,0.6306463938213153,0.4049277828947827,0.264628419075974,0.175903827752824,4.6671,1.0724167475760498,1.2170196608479606,1.4792301586836172,1.94849502430814,2.9888875,0.6763157545324195,0.4928050730065251,0.375,0.05,12.9306625,75870
20,high,low,2,0,0.0045490570425855,0.0007993466636278,0.0023038934312133,1.0724167475760498,1.2170196608479606,1.4792301586836172,1.94849502430814,2.9888875,0.3946791043491873,0.1590497423958825,0.0653823935346692,0.0273817130012086,5.274675,0.4232604814223838,0.1935666635485924,0.375,0.05,12.9306625,76101
20,high,mid,2,1,0.0101546463139341,0.000865399553958,0.0058547895677752,1.0724167475760498,1.2170196608479606,1.4792301586836172,1.94849502430814,2.9888875,0.6306463938213153,0.4049277828947827,0.264628419075974,0.175903827752824,4.6671,0.6763157545324195,0.4928050730065251,0.375,0.05,12.9306625,75870
20,high,high,2,2,0.0308855366047772,0.001832730082412,0.0188714881585867,1.0724167475760498,1.2170196608479606,1.4792301586836172,1.94849502430814,2.9888875,1.0724167475760498,1.2170196608479606,1.4792301586836172,1.94849502430814,2.9888875,1.1500776804815929,1.481136854890485,0.375,0.05,12.9306625,64977
22,low,low,0,0,0.0006394448949362,0.0009176126441293,0.0002258990433392,0.3948985242628881,0.1592307823695413,0.0654954675178584,0.0274450434613436,5.792675,0.3948985242628881,0.1592307823695413,0.0654954675178584,0.0274450434613436,5.792675,0.1559448444650068,0.0253544420540162,0.375,0.0454545454545454,14.254175,79117
22,low,mid,0,1,0.0004265013641989,0.0005365152522834,0.0005758687144846,0.3948985242628881,0.1592307823695413,0.0654954675178584,0.0274450434613436,5.792675,0.6306201131761531,0.4048830286286459,0.2645755200071294,0.1758505164038007,5.1336875,0.2490309520637583,0.0644698414166886,0.375,0.0454545454545454,14.254175,79688
22,low,high,0,2,0.003525743965186,0.0007116047342038,0.0018669585121668,0.3948985242628881,0.1592307823695413,0.0654954675178584,0.0274450434613436,5.792675,1.0769253408730977,1.2292488141926332,1.5062737365148062,2.006778382632316,3.3278125,0.4252762278520939,0.1957342504107239,0.375,0.0454545454545454,14.254175,77358
22,mid,low,1,0,0.0004265013641989,0.0005365152522834,0.0005758687144846,0.6306201131761531,0.4048830286286459,0.2645755200071294,0.1758505164038007,5.1336875,0.3948985242628881,0.1592307823695413,0.0654954675178584,0.0274450434613436,5.792675,0.2490309520637583,0.0644698414166886,0.375,0.0454545454545454,14.254175,79688
22,mid,mid,1,1,0.0009531602853402,0.0010673873716887,0.0014670341897112,0.6306201131761531,0.4048830286286459,0.2645755200071294,0.1758505164038007,5.1336875,0.6306201131761531,0.4048830286286459,0.2645755200071294,0.1758505164038007,5.1336875,0.3976817271423041,0.1639302668715049,0.375,0.0454545454545454,14.254175,78225
22,mid,high,1,2,0.0081716417440493,0.0007760252428644,0.00474762446197,0.6306201131761531,0.4048830286286459,0.2645755200071294,0.1758505164038007,5.1336875,1.0769253408730977,1.2292488141926332,1.5062737365148062,2.006778382632316,3.3278125,0.67913078034366,0.497701982828485,0.375,0.0454545454545454,14.254175,77222
22,high,low,2,0,0.003525743965186,0.0007116047342038,0.0018669585121668,1.0769253408730977,1.2292488141926332,1.5062737365148062,2.006778382632316,3.3278125,0.3948985242628881,0.1592307823695413,0.0654954675178584,0.0274450434613436,5.792675,0.4252762278520939,0.1957342504107239,0.375,0.0454545454545454,14.254175,77358
22,high,mid,2,1,0.0081716417440493,0.0007760252428644,0.00474762446197,1.0769253408730977,1.2292488141926332,1.5062737365148062,2.006778382632316,3.3278125,0.6306201131761531,0.4048830286286459,0.2645755200071294,0.1758505164038007,5.1336875,0.67913078034366,0.497701982828485,0.375,0.0454545454545454,14.254175,77222
22,high,high,2,2,0.0256838687862365,0.0016758000032642,0.0153223808924807,1.0769253408730977,1.2292488141926332,1.5062737365148062,2.006778382632316,3.3278125,1.0769253408730977,1.2292488141926332,1.5062737365148062,2.006778382632316,3.3278125,1.1597681898146377,1.511052647193995,0.375,0.0454545454545454,14.254175,68416
24,low,low,0,0,0.0002765979918232,0.000830522287521,0.0001867023465833,0.394766304269064,0.1591358110086988,0.0654441632654964,0.0274203593242662,6.3100125,0.394766304269064,0.1591358110086988,0.0654441632654964,0.0274203593242662,6.3100125,0.1558404349862552,0.0253242063453963,0.375,0.0416666666666666,15.5840625,79524
24,low,mid,0,1,0.0009285624276337,0.0004846231266633,0.0004759828748667,0.394766304269064,0.1591358110086988,0.0654441632654964,0.0274203593242662,6.3100125,0.6306313005801377,0.4049047096752534,0.2646024335536903,0.1758780389229754,5.6059125,0.2489519878864142,0.0644348393554132,0.375,0.0416666666666666,15.5840625,79832
24,low,high,0,2,0.0021926171438955,0.0006430045933613,0.0015434334708741,0.394766304269064,0.1591358110086988,0.0654441632654964,0.0274203593242662,6.3100125,1.079556032613449,1.2360909500776178,1.520412700676478,2.0343463258693864,3.6681375,0.4261723452461844,0.1967063358211148,0.375,0.0416666666666666,15.5840625,78114
24,mid,low,1,0,0.0009285624276337,0.0004846231266633,0.0004759828748667,0.6306313005801377,0.4049047096752534,0.2646024335536903,0.1758780389229754,5.6059125,0.394766304269064,0.1591358110086988,0.0654441632654964,0.0274203593242662,6.3100125,0.2489519878864142,0.0644348393554132,0.375,0.0416666666666666,15.5840625,79832
24,mid,mid,1,1,0.0019054469574126,0.0009710713346294,0.0012128056053288,0.6306313005801377,0.4049047096752534,0.2646024335536903,0.1758780389229754,5.6059125,0.6306313005801377,0.4049047096752534,0.2646024335536903,0.1758780389229754,5.6059125,0.397695837271396,0.1639478239172012,0.375,0.0416666666666666,15.5840625,78875
24,mid,high,1,2,0.0056548631345942,0.0007006828548655,0.0039268706523605,0.6306313005801377,0.4049047096752534,0.2646024335536903,0.1758780389229754,5.6059125,1.079556032613449,1.2360909500776178,1.520412700676478,2.0343463258693864,3.6681375,0.6808018248961529,0.500499047273386,0.375,0.0416666666666666,15.5840625,78036
24,high,low,2,0,0.0021926171438955,0.0006430045933613,0.0015434334708741,1.079556032613449,1.2360909500776178,1.520412700676478,2.0343463258693864,3.6681375,0.394766304269064,0.1591358110086988,0.0654441632654964,0.0274203593242662,6.3100125,0.4261723452461844,0.1967063358211148,0.375,0.0416666666666666,15.5840625,78114
24,high,mid,2,1,0.0056548631345942,0.0007006828548655,0.0039268706523605,1.079556032613449,1.2360909500776178,1.520412700676478,2.0343463258693864,3.6681375,0.6306313005801377,0.4049047096752534,0.2646024335536903,0.1758780389229754,5.6059125,0.6808018248961529,0.500499047273386,0.375,0.0416666666666666,15.5840625,78036
24,high,high,2,2,0.0222451680778319,0.0015402440776817,0.0126856358818088,1.079556032613449,1.2360909500776178,1.520412700676478,2.0343463258693864,3.6681375,1.079556032613449,1.2360909500776178,1.520412700676478,2.0343463258693864,3.6681375,1.1654412275520902,1.5279208368637878,0.375,0.0416666666666666,15.5840625,71398
26,low,low,0,0,0.0004376677887639,0.0007413877065969,0.0001568875356529,0.3949100821886145,0.1592412250510523,0.0655022367642616,0.027448834833047,6.827775,0.3949100821886145,0.1592412250510523,0.0655022367642616,0.027448834833047,6.827775,0.1559539730142182,0.0253577677557598,0.375,0.0384615384615384,16.9181625,79683
26,low,mid,0,1,0.0004235579979078,0.0004414420472962,0.0003999951113169,0.3949100821886145,0.1592412250510523,0.0655022367642616,0.027448834833047,6.827775,0.6308878984106535,0.4052504311747302,0.2649542563663901,0.1761984413533603,6.082425,0.2491439918131534,0.0645325751127312,0.375,0.0384615384615384,16.9181625,79884
26,low,high,0,2,0.0013346252421738,0.0005830877614422,0.0012972278357813,0.3949100821886145,0.1592412250510523,0.0655022367642616,0.027448834833047,6.827775,1.0824654136960128,1.243551807808797,1.536186402845009,2.0686727502380013,4.0079625,0.427476505489025,0.1980247132899236,0.375,0.0384615384615384,16.9181625,78738
26,mid,low,1,0,0.0004235579979078,0.0004414420472962,0.0003999951113169,0.6308878984106535,0.4052504311747302,0.2649542563663901,0.1761984413533603,6.082425,0.3949100821886145,0.1592412250510523,0.0655022367642616,0.027448834833047,6.827775,0.2491439918131534,0.0645325751127312,0.375,0.0384615384615384,16.9181625,79884
26,mid,mid,1,1,0.0005724076954689,0.0008769768645311,0.0010193370142475,0.6308878984106535,0.4052504311747302,0.2649542563663901,0.1761984413533603,6.082425,0.6308878984106535,0.4052504311747302,0.2649542563663901,0.1761984413533603,6.082425,0.398019540361011,0.1642279119673047,0.375,0.0384615384615384,16.9181625,79292
26,mid,high,1,2,0.0051985070516154,0.0006306108595687,0.0033017195847528,0.6308878984106535,0.4052504311747302,0.2649542563663901,0.1761984413533603,6.082425,1.0824654136960128,1.243551807808797,1.536186402845009,2.0686727502380013,4.0079625,0.6829143299488961,0.5039499063026303,0.375,0.0384615384615384,16.9181625,78684
26,high,low,2,0,0.0013346252421738,0.0005830877614422,0.0012972278357813,1.0824654136960128,1.243551807808797,1.536186402845009,2.0686727502380013,4.0079625,0.3949100821886145,0.1592412250510523,0.0655022367642616,0.027448834833047,6.827775,0.427476505489025,0.1980247132899236,0.375,0.0384615384615384,16.9181625,78738
