N,c2_mean,c2_std,c2_exact,mean_p,mean_p_sq,mean_p2_F,inv_N,mean_n_accepted,acceptance_fraction
20,0.0041226602599419,0.0003127859600783,0.0033002692093696,0.636978199528168,0.4942188835754997,0.375,0.05,12.9306625,0.646533125
22,0.0028470148199041,0.0002802033611711,0.0026702398100081,0.6393707276917121,0.4989173055030272,0.375,0.0454545454545454,14.254175,0.6479170454545454
24,0.0023409183388387,0.000253255504212,0.0022050035583113,0.6411070674544164,0.5022756683802283,0.375,0.0416666666666666,15.5840625,0.6493359375
26,0.0020588666051546,0.0002303815007454,0.0018516681760442,0.6427773873483996,0.5053864221904991,0.375,0.0384615384615384,16.9181625,0.6506985576923078
28,0.0016032736675794,0.0002125023616883,0.0015769955070138,0.6444255587369864,0.5086070905952748,0.375,0.0357142857142857,18.2495125,0.6517683035714287
30,0.0016745825120658,0.0001980491530626,0.0013592401234675,0.6454854552115102,0.5106084218408616,0.375,0.0333333333333333,19.5746375,0.6524879166666667
32,0.0015574821093233,0.0001838782396318,0.0011836874510315,0.6465183888972517,0.5123778933726831,0.375,0.03125,20.8969625,0.653030078125
34,0.0012299785728886,0.0001721442824683,0.0010400907138096,0.6475935762886503,0.5146884785267194,0.375,0.0294117647058823,22.215375,0.6533933823529412
36,0.0012077857148515,0.0001625678517407,0.0009211358252905,0.6490733128944213,0.5174588703459353,0.375,0.0277777777777777,23.550975,0.65419375
38,0.0009662051754042,0.0001521446252994,0.0008214884644416,0.6494267198715825,0.5182621187133905,0.375,0.0263157894736842,24.8714,0.6545105263157895
40,0.0006846406486177,0.0001442234352788,0.0007371839130756,0.6501719750565186,0.5199938339175771,0.375,0.025,26.2040875,0.6551021875
42,0.0006846581766215,0.0001359472157071,0.000665225610101,0.6506716374630761,0.5208113023360035,0.375,0.0238095238095238,27.52795,0.655427380952381
44,0.0006629111059461,0.0001303293983623,0.0006033146147944,0.6513191511045189,0.5221188596811098,0.375,0.0227272727272727,28.857525,0.6558528409090909
46,0.0006278340034713,0.0001234944802549,0.0005496633557784,0.6517300444984397,0.5228501059611953,0.375,0.0217391304347826,30.1893875,0.6562910326086956
48,0.0005637574956162,0.0001182357599616,0.0005028649295921,0.6526522394198292,0.5247367715872008,0.375,0.0208333333333333,31.4939,0.6561229166666667
50,0.0005372037855485,0.0001134883297216,0.0004617997855934,0.6531364203911174,0.525614950518086,0.375,0.02,32.82015,0.656403
52,0.000341787775608,0.0001081272083577,0.0004255680536895,0.6534314211948152,0.5261458406790013,0.375,0.0192307692307692,34.15785,0.6568817307692308
54,0.0004159695550741,0.0001036784506366,0.0003934397649549,0.6535587924602531,0.5264765499894568,0.375,0.0185185185185185,35.49405,0.6572972222222222
56,0.0003927663829072,9.962340323739468e-05,0.0003648177545642,0.653774507730959,0.5268947643682006,0.375,0.0178571428571428,36.80855,0.6572955357142857
58,0.0003402369937375,9.688622112290134e-05,0.0003392096837132,0.6545526970648136,0.5284788639422795,0.375,0.0172413793103448,38.141625,0.657614224137931
60,0.0001389820486363,9.243625080298018e-05,0.0003162067054145,0.654707261937272,0.5289084615289906,0.375,0.0166666666666666,39.46145,0.6576908333333333
62,0.0001291265057446,8.941131880404863e-05,0.0002954670300965,0.6549772796391174,0.52922658059927,0.375,0.0161290322580645,40.7666,0.6575258064516128
64,0.0003352095341932,8.706710087993873e-05,0.0002767031456717,0.6551054408183954,0.5295413039220301,0.375,0.015625,42.1226,0.658165625
66,0.0002233903519474,8.421519428900259e-05,0.0002596717918806,0.6554616869247631,0.5301850023593262,0.375,0.0151515151515151,43.4135375,0.6577808712121211
68,0.0002366417314866,8.107839033824534e-05,0.0002441660307401,0.655633167124365,0.5305660704838269,0.375,0.0147058823529411,44.7653625,0.6583141544117648
70,0.0002085174900917,7.89074868130013e-05,0.0002300089267458,0.6560574321683377,0.5314566398326676,0.375,0.0142857142857142,46.1051125,0.6586444642857142
72,0.0001643220467005,7.700303178405284e-05,0.0002170484738555,0.6563249760843548,0.5320980480288806,0.375,0.0138888888888888,47.389825,0.6581920138888889
74,0.0001398551774357,7.492417775478412e-05,0.0002051534958392,0.656337388967888,0.5320843786492709,0.375,0.0135135135135135,48.7160125,0.6583244932432433
76,0.0002798342816671,7.314552193640907e-05,0.0001942103122386,0.6565822650683207,0.5326338651359158,0.375,0.0131578947368421,50.0648125,0.6587475328947369
78,-8.48549338216743e-06,6.992309832481192e-05,0.0001841200107693,0.6567598758835766,0.532875344574545,0.375,0.0128205128205128,51.357525,0.6584298076923077
80,0.0001737654317035,6.913586075470321e-05,0.0001747962032881,0.6570027221033999,0.5334315687078466,0.375,0.0125,52.7243875,0.65905484375
82,0.0001266319023785,6.741319655500213e-05,0.0001661631697636,0.656972334771725,0.5333072555140057,0.375,0.0121951219512195,54.04085,0.659034756097561
84,8.643246730016738e-05,6.526831194427994e-05,0.0001581543154245,0.6572147261228012,0.5338016219592803,0.375,0.0119047619047619,55.3622625,0.6590745535714285
86,7.99853673395747e-05,6.416081421671771e-05,0.0001507108821102,0.6576118338095139,0.5345957980653949,0.375,0.0116279069767441,56.698425,0.659284011627907
88,0.0001722636167341,6.25510708739138e-05,0.0001437808670587,0.6575067656483806,0.5344570628310878,0.375,0.0113636363636363,58.0177125,0.6592921875000001
90,0.0001617434404547,6.102041322317638e-05,0.0001373181118237,0.6577852049870172,0.5350741914092791,0.375,0.0111111111111111,59.33525,0.6592805555555555
92,8.563720724854427e-05,5.992193369402373e-05,0.0001312815314009,0.6577472695997438,0.5349873230223905,0.375,0.0108695652173913,60.6652625,0.659405027173913
94,8.995014984170558e-05,5.820836219874018e-05,0.0001256344594318,0.657910197966255,0.5352457077251036,0.375,0.0106382978723404,61.9630125,0.6591809840425532
96,0.0001137524222947,5.738418256557818e-05,0.0001203440899295,0.6582055244281765,0.535800022391018,0.375,0.0104166666666666,63.2977,0.6593510416666667
98,8.419527378566051e-05,5.616448893788907e-05,0.0001153809996013,0.6582377322440336,0.5358988020362186,0.375,0.010204081632653,64.6544125,0.6597389030612245
100,0.0001681397647327,5.505611240916905e-05,0.0001107187377381,0.6583516894711463,0.536208301822763,0.375,0.01,65.949975,0.6594997499999999
